"TCD","DLOC","TCLOC","scores_ANN"
0.3,6,6,2.4
0.2,6,6,2.9
0.1,177,211,7
0.3,22,39,3.5
0.1,5,6,5.5
0.4,3,3,1.5
0.4,238,246,4.1
0.2,12,28,6.4
0.2,8,8,3.2
0.1,4,4,2.1
0.2,42,45,4.7
0.5,47,49,2.9
0.1,5,9,2.5
0.1,1,15,4
0.1,3,3,2.2
0.5,38,58,4.9
0.1,1,1,2.9
0,3,5,2.9
0.1,4,6,2.2
0.2,10,10,2.8
0.5,7,7,4
0.3,84,128,6.6
0.2,3,7,6.4
0.3,8,12,1.4
0.7,13,15,2.8
0,1,1,5
0.1,4,4,1.8
0.1,3,7,2.3
0,0,0,0.9
0,3,9,1.3
0.3,19,20,3.5
0.2,4,4,1.6
0,0,6,4.7
0.4,5,5,2.4
0,1,1,0.3
0.4,213,223,4.1
0.1,5,47,3.8
0.1,3,6,2.3
0.4,30,32,4.4
0.1,1,1,2
0,2,2,3.5
0.3,4,4,0.1
0.5,84,86,3.2
0.1,7,22,4.1
0.1,3,5,7.4
0.2,3,8,3
0.5,57,66,3.3
0.2,61,87,4.4
0.2,63,70,3.9
0,0,1,5.4
0.1,3,3,5.5
0.2,10,10,3.3
0.2,3,8,1.2
0.2,4,13,3.5
0.4,26,26,3.4
0.5,133,186,3.6
0.2,1,3,2.8
0.1,10,13,2
0,5,11,4.1
0.3,6,12,1.4
0.4,11,55,1
0.2,23,30,4.5
0.6,113,116,4.1
0,0,0,7.6
0.1,4,4,5.4
0.4,5,20,4.2
0,0,11,5.8
0.1,12,27,4.6
0,3,3,2.1
0.2,0,4,2.4
0.1,0,1,2.4
0.4,4,4,2.3
0.2,2,2,3.4
0.1,10,13,3.3
0.5,128,129,3.7
0.1,4,4,4.5
0.3,2,50,3.9
0,0,3,3.8
0.5,143,174,3.7
0,1,1,2
0,2,5,3.8
0.1,3,49,3.9
0.4,77,77,6.4
0.1,9,10,3.8
0.1,0,91,5
0.1,13,48,4
0.1,1,9,0.2
0.2,0,3,1.4
0.2,4,5,3.7
0.1,0,2,2.3
0.1,1,5,3.2
0.1,0,4,3.9
0.7,19,19,4
0.1,1,4,2
0.1,2,34,3.5
0.1,68,74,6.6
0.1,5,18,4.7
0,4,4,5
0.3,12,12,2.1
0.2,5,24,2
0.2,24,24,4.1
0,3,4,3.6
0.8,6,6,0.1
0.1,4,13,3.4
0,0,1,3.4
0.2,3,3,6.1
0.2,6,6,5
0.2,7,16,1.2
0.3,6,6,2
0.2,0,1,2
0.1,11,20,3
0.2,19,22,3.8
0.2,5,5,2.5
0,0,4,3.6
0,0,0,0.1
