"McCC","WMC","NL","scores_ANN"
1,5,0,2.1
1,1,0,3.1
1.2,7,1,2.3
2.3,25,3,2.6
1.6,33,3,5
3.4,21,1,6
3.4,1,0,1
3.4,88,4,4.7
1.5,3,1,1.8
2.6,0,0,5.5
1.3,13,0,2.8
2.4,13,3,4.5
2.4,4,0,4.9
3.2,13,4,2.3
2,30,4,3.4
2.1,66,8,5.2
4,8,3,2.6
2,2,0,1.4
1.5,8,1,3.7
1.5,5,0,4.5
1.5,4,2,2.3
1.2,28,1,3.8
1,5,0,1.3
4.1,29,4,5.4
5,5,4,1.4
1.3,23,1,4.2
1.3,3,2,2.3
2.7,8,1,2.6
2,2,0,4.1
1.7,19,1,3.1
4.4,31,4,2.2
4.4,0,0,0.6
1.1,32,1,3.5
2,41,1,4.3
3.1,47,4,1.7
3,3,2,0.9
1.8,7,2,4.1
1.8,0,0,5.5
3,6,2,5.4
1.5,3,0,0.8
1.6,13,2,2
1,7,0,2.7
2.1,19,2,5.8
2.1,14,2,2.9
2.1,7,1,4.8
2.1,13,1,1.7
2.1,0,0,0.6
2.2,1,0,5.5
2.2,10,2,4.1
2.2,10,2,5.2
2.2,0,0,1.8
2.2,9,1,2.2
1.3,39,1,4.6
1.1,38,1,3.5
1,2,0,4.2
1.8,11,1,3.2
1.1,18,2,3.4
1.2,10,1,3.4
2.5,5,1,2.9
2.5,0,0,0.9
1.4,4,0,3.3
1.4,20,2,5.4
2.7,8,3,2.6
4,4,2,0.7
1.4,0,0,5.5
1.4,36,6,3.7
1,5,0,3.4
2.5,64,11,3.7
2.5,7,3,4
1.5,6,2,1.5
1,34,1,4.7
1.7,5,2,3.9
3,5,3,3.8
3,3,2,2.7
5,0,0,0.9
5,1,0,4.7
1.1,16,2,3.3
1.2,12,2,2.9
1.5,9,2,3.6
2,9,1,2.7
2,1,0,3
1.1,10,1,2.6
2.5,1,0,3.6
2.5,44,3,6.2
1,16,0,3.4
1.5,9,1,2.6
1.2,0,0,3.4
1.2,6,1,3.6
1.5,3,1,2.1
2.9,43,9,4.6
2.9,3,0,4.6
2.9,0,0,5.5
1.7,6,2,2.1
1.7,4,0,3.5
1.1,26,1,3.5
1.3,7,2,6.5
1.3,5,1,2.1
1.3,19,1,8.3
3.7,44,3,4.8
3,18,2,3.8
1.7,15,1,2.4
1.6,4,0,2.2
1.6,0,0,0.9
1.6,4,1,2.3
2,1,0,3.6
2,0,0,5.5
2,6,1,2.7
2,14,4,4.3
2,8,2,3.1
3,9,1,2.4
6.6,53,5,1.6
3,3,2,4.2
1,14,0,3.1
1.6,11,1,1.9
1,2,0,5
1,1,0,5.2
2,4,2,4.8
2,4,1,6.6
2,0,0,0.9
1.7,12,2,4.4
5.8,29,0,4
