"NII","RFC","CBO","scores_ANN"
0,4,3,2.6
1,3,5,1.7
0,8,8,1.3
0,0,0,5.1
1,4,4,2.4
1,21,5,6.7
8,10,9,1.4
4,6,2,1.2
0,7,5,2.7
13,18,7,4.5
0,5,1,1.8
2,6,3,1.2
0,5,0,2.5
1,4,1,1.9
1,8,1,2.1
2,9,2,2.1
0,6,2,2.5
2,4,5,2.1
2,3,0,4.6
2,340,6,7.8
24,5,0,2.5
2,13,11,2
0,11,1,3.1
11,47,24,1.5
1,4,7,1.7
2,4,4,2.3
2,7,1,3.4
1,8,7,1.7
0,6,3,5
0,29,2,5.1
6,3,0,2.1
2,4,2,0.5
2,4,8,3.8
1,15,0,3.2
2,6,5,3
1,7,6,1.7
0,3,2,0.7
0,4,1,3.3
3,6,5,6.3
2,12,6,2.5
3,5,0,6
0,4,1,3.5
1,12,13,3.8
0,49,21,1.3
1,2,3,1.9
1,6,3,3.5
3,1,0,0.2
0,0,1,5.5
6,7,6,1.7
1,7,4,3.3
9,13,10,1.9
0,13,8,4
1,2,0,2
1,1,0,2.6
2,5,3,0.4
17,3,1,2.6
7,25,4,3.5
0,70,31,5
18,29,5,4.3
1,4,2,1.2
0,8,6,1.4
0,3,1,0.7
0,3,2,3.9
1,7,3,3.2
3,58,14,5.2
8,10,4,1.7
1,5,2,2.7
0,124,48,4
4,5,0,4.9
0,0,1,3.2
2,5,2,3.2
1,4,1,1.8
11,9,12,1.4
1,2,2,1.7
3,12,0,2.9
1,3,3,2.2
0,2,2,5.6
1,6,2,2.1
0,6,2,2.1
0,5,0,3.8
2,2,0,1.7
1,1,0,3.1
1,9,3,2.3
1,26,10,2.6
20,38,9,5
0,27,3,6
1,1,0,1
15,20,4,4.7
0,3,1,1.8
2,11,6,2.8
0,11,1,5.4
0,1,3,1.3
0,3,1,4.5
0,4,0,4.9
11,8,6,2.3
1,16,7,2.3
92,15,0,3.4
26,51,10,5.2
0,2,6,2.6
0,6,4,3.7
1,5,5,4.5
0,3,1,1.9
0,29,4,3.8
1,5,2,2.8
2,8,7,1.3
0,21,9,5.4
0,4,4,1.4
275,24,1,4.2
1,3,0,2.6
1,8,7,1.3
0,24,4,3.1
0,13,7,2.2
0,66,43,3.5
54,29,7,4.3
16,44,29,1.7
1,4,4,0.9
0,10,5,4.1
2,2,4,0.8
0,4,3,1.4
0,8,5,5.4
1,4,4,1
1,4,5,0.8
2,13,4,2
1,5,4,1.2
0,11,2,2.7
1,24,14,5.8
6,12,8,2.9
1,4,0,4.8
3,7,1,1.7
0,1,1,5.5
2,15,9,4.1
0,6,4,5.2
20,6,3,2.2
0,5,6,2.3
3,38,5,4.6
0,72,29,3.5
0,4,1,4.2
0,5,3,3.3
0,15,8,3.2
0,23,7,3.4
3,11,2,3.4
1,3,1,2.9
0,0,4,0.9
1,17,5,5.4
2,3,0,2
0,5,2,2.6
0,4,5,0.7
12,29,1,3.7
0,5,1,3.4
222,26,0,3.7
1,2,0,4
1,7,6,1.5
73,34,1,4.7
1,7,8,3.9
0,1,3,0.7
1,20,11,3.8
0,1,1,3.6
0,5,5,0.7
1,5,2,3.3
0,0,3,0.9
4,2,2,4.7
3,5,3,1.8
0,9,2,3.3
0,26,23,3.3
0,15,10,2.9
19,11,10,3.6
3,6,2,2.7
0,1,5,3
0,21,19,2.6
15,38,2,6.2
0,16,2,3.4
1,8,4,2.6
0,0,3,0.6
1,5,13,3.7
7,13,12,3.6
1,9,4,3
2,1,0,1.4
2,8,4,2.6
1,3,1,2.1
5,21,18,4.6
0,7,3,4.6
1,5,2,2.1
0,7,4,1.7
0,1,0,1.3
0,56,20,3.5
0,4,2,6.5
9,5,6,2.1
0,30,3,8.3
15,13,1,4.8
4,21,20,3.8
2,4,2,4.1
4,14,7,2.4
0,4,3,2.2
0,1,0,2.3
3,7,1,2.7
0,3,0,4.3
22,7,2,3.1
1,2,1,2.3
1,5,1,2.4
2,50,23,1.6
0,3,1,4.2
0,2,3,1.2
0,8,2,4.6
0,37,36,3.1
12,18,16,1.9
1,4,3,5
6,11,5,3.3
1,10,2,3.3
0,1,1,5.2
